0	10786
1	10795
2	10802
3	10797
4	10789
5	10791
6	10800
7	10800
8	10800
9	10801
10	10802
11	10800
12	10798
13	10800
14	10803
15	10803
16	10798
17	10798
18	10802
19	10805
20	10801
21	10792
22	10794
23	10802
24	10806
25	10801
26	10794
27	10797
28	10805
29	10805
30	10796
31	10796
32	10795
33	10796
34	10797
35	10795
36	10795
37	10795
38	10796
39	10797
40	10795
41	10793
42	10795
43	10797
44	10797
45	10789
46	10787
47	10794
48	10799
49	10806
50	10802
51	10795
52	10795
53	10801
54	10803
55	10797
56	10794
57	10797
58	10800
59	10798
60	10795
61	10795
62	10796
63	10796
64	10795
65	10795
66	10795
67	10793
68	10794
69	10800
70	10802
71	10795
72	10799
73	10801
74	10798
75	10796
76	10797
77	10798
78	10798
79	10797
80	10797
81	10797
82	10797
83	10797
84	10797
85	10797
86	10795
87	10795
88	10798
89	10799
90	10795
91	10787
92	10782
93	10782
94	10788
95	10788
96	10788
97	10788
98	10786
99	10785
100	10788
101	10786
102	10787
103	10789
104	10789
105	10787
106	10786
107	10789
108	10782
109	10775
110	10779
111	10787
112	10787
113	10778
114	10775
115	10783
116	10789
117	10788
118	10782
119	10780
120	10785
121	10793
122	10792
123	10783
124	10781
125	10789
126	10796
127	10791
128	10782
129	10783
130	10792
131	10793
132	10793
133	10792
134	10792
135	10792
136	10793
137	10793
138	10792
139	10792
140	10793
141	10789
142	10789
143	10794
144	10794
145	10795
146	10795
147	10794
148	10795
149	10787
150	10782
151	10789
152	10797
153	10794
154	10785
155	10785
156	10794
157	10798
158	10791
159	10784
160	10788
161	10797
162	10797
163	10788
164	10784
165	10787
166	10795
167	10795
168	10787
169	10779
170	10783
171	10792
172	10794
173	10794
174	10793
175	10792
176	10792
177	10793
178	10793
179	10791
180	10791
181	10792
182	10792
183	10792
184	10791
185	10791
186	10791
187	10791
188	10790
189	10793
190	10792
191	10793
192	10801
193	10808
194	10803
195	10797
196	10796
197	10796
198	10798
199	10797
200	10799
201	10796
202	10795
203	10798
204	10800
205	10797
206	10793
207	10795
208	10798
209	10798
210	10795
211	10786
212	10782
213	10786
214	10794
215	10792
216	10785
217	10778
218	10783
219	10792
220	10790
221	10781
222	10778
223	10786
224	10792
225	10786
226	10777
227	10779
228	10788
229	10790
230	10782
231	10778
232	10775
233	10778
234	10781
235	10780
236	10777
237	10773
238	10777
239	10783
240	10782
241	10779
242	10776
243	10778
244	10780
245	10779
246	10775
247	10774
248	10776
249	10778
250	10776
251	10774
252	10773
253	10772
254	10781
