9052,9052,9052,9052
9167,9167,9167,9167
9158,9158,9158,9158
9158,9158,9158,9158
9151,9151,9151,9151
9188,9188,9188,9188
9220,9220,9220,9220
9243,9243,9243,9243
9285,9285,9285,9285
9305,9305,9305,9305
9344,9344,9344,9344
9371,9371,9371,9371
9400,9400,9400,9400
9437,9437,9437,9437
9459,9459,9459,9459
9498,9498,9498,9498
9525,9525,9525,9525
9555,9555,9555,9555
9593,9593,9593,9593
9613,9613,9613,9613
9657,9657,9657,9657
9683,9683,9683,9683
9685,9685,9685,9685
9718,9718,9718,9718
9730,9730,9730,9730
9740,9740,9740,9740
9719,9719,9719,9719
9714,9714,9714,9714
9698,9698,9698,9698
9651,9651,9651,9651
9621,9621,9621,9621
9541,9541,9541,9541
9532,9532,9532,9532
9463,9463,9463,9463
9411,9411,9411,9411
9458,9458,9458,9458
9426,9426,9426,9426
9365,9365,9365,9365
9309,9309,9309,9309
9209,9209,9209,9209
9112,9112,9112,9112
9006,9006,9006,9006
8927,8927,8927,8927
8850,8850,8850,8850
8768,8768,8768,8768
8708,8708,8708,8708
8627,8627,8627,8627
8545,8545,8545,8545
8466,8466,8466,8466
8384,8384,8384,8384
8305,8305,8305,8305
8223,8223,8223,8223
8145,8145,8145,8145
8062,8062,8062,8062
7990,7990,7990,7990
7908,7908,7908,7908
7829,7829,7829,7829
7747,7747,7747,7747
7669,7669,7669,7669
7587,7587,7587,7587
7509,7509,7509,7509
7428,7428,7428,7428
7349,7349,7349,7349
7269,7269,7269,7269
7189,7189,7189,7189
7112,7112,7112,7112
7030,7030,7030,7030
6955,6955,6955,6955
6873,6873,6873,6873
6797,6797,6797,6797
6717,6717,6717,6717
6641,6641,6641,6641
6565,6565,6565,6565
6486,6486,6486,6486
6413,6413,6413,6413
6335,6335,6335,6335
6261,6261,6261,6261
6186,6186,6186,6186
6111,6111,6111,6111
6037,6037,6037,6037
5961,5961,5961,5961
5885,5885,5885,5885
5808,5808,5808,5808
5730,5730,5730,5730
5653,5653,5653,5653
5578,5578,5578,5578
5499,5499,5499,5499
5425,5425,5425,5425
5346,5346,5346,5346
5270,5270,5270,5270
5192,5192,5192,5192
5115,5115,5115,5115
5039,5039,5039,5039
4961,4961,4961,4961
4882,4882,4882,4882
4806,4806,4806,4806
4725,4725,4725,4725
4604,4604,4604,4604
4505,4505,4505,4505
4387,4387,4387,4387
4286,4286,4286,4286
4171,4171,4171,4171
4074,4074,4074,4074
3953,3953,3953,3953
3853,3853,3853,3853
3741,3741,3741,3741
3629,3629,3629,3629
3531,3531,3531,3531
3411,3411,3411,3411
3314,3314,3314,3314
3199,3199,3199,3199
3092,3092,3092,3092
2989,2989,2989,2989
2871,2871,2871,2871
2775,2775,2775,2775
2656,2656,2656,2656
2554,2554,2554,2554
2444,2444,2444,2444
2329,2329,2329,2329
2232,2232,2232,2232
2111,2111,2111,2111
2005,2005,2005,2005
1927,1927,1927,1927
1815,1815,1815,1815
1727,1727,1727,1727
1611,1611,1611,1611
1519,1519,1519,1519
1415,1415,1415,1415
1322,1322,1322,1322
1253,1253,1253,1253
1182,1182,1182,1182
1142,1142,1142,1142
1055,1055,1055,1055
1002,1002,1002,1002
958,958,958,958
792,792,792,792
724,724,724,724
671,671,671,671
622,622,622,622
613,613,613,613
600,600,600,600
600,600,600,600
599,599,599,599
598,598,598,598
604,604,604,604
587,587,587,587
590,590,590,590
596,596,596,596
597,597,597,597
603,603,603,603
606,606,606,606
610,610,610,610
614,614,614,614
616,616,616,616
616,616,616,616
617,617,617,617
622,622,622,622
626,626,626,626
629,629,629,629
634,634,634,634
635,635,635,635
640,640,640,640
642,642,642,642
645,645,645,645
649,649,649,649
650,650,650,650
651,651,651,651
652,652,652,652
654,654,654,654
657,657,657,657
656,656,656,656
659,659,659,659
656,656,656,656
